序列号,真结节#0,最大直径,平均直径,体积,平均密度,真结节#1,最大直径,平均直径,体积,平均密度,找到真性结节个数,假阳性结节个数
金标准,,5.006,3.359,19.844,-340.394,,6.322,5.032,66.698,-477.878,,
﻿LDHDLungSS40,0, , , , ,1,0.0,1.722,2.676,-157.0,1,4
﻿LDHDStdSS0,0, , , , ,1,5.886,4.855,59.935,-341.456,1,2
﻿LDHDStdSS60,0, , , , ,1,6.141,4.941,63.145,-345.441,1,3
﻿LDHDStdSS80,0, , , , ,1,6.141,4.941,63.145,-350.872,1,3
﻿LDLungSS0,0, , , , ,0, , , , ,0,2
﻿LDLungSS40,0, , , , ,0, , , , ,0,4
﻿LDStdSS0a,0, , , , ,1,5.788,4.782,57.259,-332.129,1,3
﻿LDStdSS80,0, , , , ,1,5.872,4.612,51.373,-337.951,1,3
﻿LSDStdSS60,0, , , , ,1,5.828,4.706,54.583,-336.345,1,2
﻿LungSS0a,1,21.537,15.585,1982.198,66.666,1,21.537,15.585,1982.198,66.666,2,2
﻿StdSS0a,1,5.006,3.359,19.844,-340.394,1,6.322,5.032,66.698,-477.878,2,2
﻿StdSS60a,1,4.264,2.509,8.268,-366.364,1,19.348,13.354,1246.866,23.242,2,3
